hotel_id,name,star,rating,review_count,price,address
56696925,RAW设计师别院(昆明翠湖公园店),4,4.7,947,318,近昆明老街 · 翠湖公园
130887070,SFEEL设计师旗舰店(昆明穿金路店),4,4.7,1801,294,近昆明老街 · 翠湖公园
44722970,昆明南屏步行街老街桔子水晶酒店,4,4.7,6178,466,近昆明老街 · 顺城购物中心
133564307,洲致国际酒店(昆明火车站北广场店),3,4.8,738,248,近昆明站 · 昆明老街
109481583,城迹酒店(昆明长水国际机场店),4,4.8,3979,239,近昆明长水国际机场 · 滇南购物中心(昆明铂港·现代广场店)
130225355,那佳Master NARKA空间设计师庭院庄园(昆明长水国际机场店),4,4.7,1474,138,昆明长水国际机场地区 · 近村投欢乐谷
4544814,橄榄公社1911法式花园电影酒店,2,4.5,137,150,近翠湖公园 · 昆明老街
133456930,AnmanFlowerRoomHotel|安漫花间酒店(昆明火车站店),4,4.9,642,398,近昆明站 · 昆明老街
127627404,宜尚酒店(昆明老街南屏步行街店),3,4.8,1326,311,近金马碧鸡坊 · 翠湖公园
1463395,喆啡酒店(昆明火车站环城南路地铁站店),3,4.6,5655,275,近昆明站 · 火车站地区
112808607,七彩云南BETTERDREAM•GARDEN瓣朵海景酒店(呈贡区昆明高铁南站店),2,4.6,2538,149,近七彩云南第壹城时代广场 · 昆明斗南花卉市场
117494091,昆明木熙隆苑设计师酒店(大都摩天购物中心店),2,4.8,977,126,近珥季路地铁站 · 大都摩天购物中心
133686376,昆明南屏步行街金马碧鸡坊一方居设计师别院,4,4.7,625,300,近昆明老街 · 南屏步行街/金马碧鸡坊
66727095,昆明官渡万象城希尔顿欢朋酒店,4,4.8,6379,448,近昆明万象城 · 昆明老街
127050482,SFEEL设计师酒店(昆明老街南屏步行街店),3,4.7,2132,326,近昆明老街 · 翠湖公园
107749724,昆明站北广场亚朵酒店,4,4.8,2562,447,近昆明站 · 火车站地区
8452143,维也纳智好酒店(昆明长水国际机场店),3,4.6,602,148,近昆明长水国际机场 · 大板桥地铁站
116493678,锦秀智影·澜寓(昆明中交金地中央公园巫家坝地铁站店),2,4.8,646,148,近巫家坝地铁站 · 昆明站
438000,昆明中维天恒大酒店(昆明老街南屏步行街店),5,4.6,3149,448,近南屏步行街 · 昆明老街
132636340,柏曼酒店(昆明长水机场T1航站楼店),3,4.7,1047,149,近昆明长水国际机场 · 机场前地铁站
117170236,滇之南酒店(昆明长水国际机场T1航站楼店),3,4.7,4963,148,近长水中心集贸市场 · 昆明长水国际机场
8984138,昆明古滇半山温泉酒店(滇池店),5,4.7,706,1900,近七彩云南古滇温泉山庄 · 七彩云南欢乐世界
133289580,云慢居酒店(昆明老街南屏步行街店),2,4.8,638,298,近昆明老街 · 翠湖公园
50807247,全季酒店(昆明环城北路店),3,4.8,1594,446,近翠湖公园 · 昆明老街
125216931,昆明老街景星街亚朵酒店,3,4.8,1208,596,近昆明老街 · 翠湖公园
114299741,昆明仁鼎仁大酒店(长水国际机场店),2,4.5,1073,60,近昆明长水国际机场 · 润足堂休闲中心(昆明长水国际机场店)
111585516,印象雀之灵大酒店(昆明长水国际机场店),3,4.7,4816,98,近大板桥地铁站 · 昆明长水国际机场
25464894,哈瓦那酒店(昆明长水机场店),2,4.5,4293,82,近昆明长水国际机场 · 大板桥地铁站
432263,昆明君乐酒店,5,4.7,6314,457,近翠湖公园 · 昆明老街
56360616,昆明南站希尔顿欢朋酒店,4,4.8,5504,428,近昆明南站 · 云南师范大学(呈贡校区)
428203,昆明佳华广场酒店(昆明站环城南路地铁站店),5,4.6,6796,383,近昆明站 · 环城南路地铁站
1102593,全季酒店(昆明呈贡斗南花市店),3,4.8,3722,358,近昆明斗南花卉市场 · 斗南七彩花海
116782151,昆明滇池诺富特酒店,5,4.8,5544,570,近滇池南亚风情第壹城 · 昆明站
61737662,昆明官渡浩枫温德姆酒店,4,4.4,206,237,经济开发区 · 近牛街庄地铁站
123584426,云朵·里美宿(昆明老街翠湖公园店),4,4.6,4443,452,近昆明老街 · 翠湖公园
60019106,南强别院酒店(昆明南屏步行街金马碧鸡坊店),3,4.6,928,202,近昆明老街 · 南屏步行街/金马碧鸡坊
128222333,希岸酒店(昆明长水国际机场铂港现代广场店),3,4.6,779,166,近铂港现代广场 · 昆明长水国际机场
134867881,今夕·龙云酒店(昆明长水国际机场店),3,,75,118,近昆明长水国际机场 · 二龙湖民俗生态旅游度假区
126920424,無二乐居酒店(昆明老街南屏步行街店),3,4.8,1753,319,近昆明老街 · 翠湖公园
116987087,PARK WINS泊云栖·高空观景酒店(万达广场昆明火车站店),4,4.8,2917,346,近昆明站 · 万达广场(西山店)
132018785,昆明南屏步行街希尔顿欢朋酒店,4,4.6,1226,570,近昆明老街 · 翠湖公园
