排名,电影名,导演,主演,年份,国家/地区,评分,评价人数,简介,封面链接
23,触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...2011 / 法国 / 剧情 喜剧,,,,9.3,1304027,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
24,教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,/ 美国 / 剧情 犯罪,1972,马龙·白兰度 M...,9.3,1114659,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
25,末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,/ 陈... / 英国 意大利 中国大陆 法国 / 剧情 传记 历史,1987,尊龙 John Lone,9.3,1035749,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
26,哈利·波特与魔法石,Chris Columbus,/ Emma Watson / Rupert Grint / 美国 英国 / 奇幻 冒险,2001,Daniel Radcliffe,9.2,1433287,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2913781448.jpg
27,当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,/ 美国 / 剧情 传记 家庭,2006,威尔·史密斯 Will Smith ...,9.1,1696743,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
28,龙猫,宫崎骏 Hayao Miyazaki,/ 坂本千夏 Ch... / 日本 / 动画 奇幻 冒险,1988,日高法子 Noriko Hidaka,9.2,1418727,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
29,活着,张艺谋 Yimou Zhang,/ 巩俐 Li Gong / 姜武 Wu Jiang / 中国大陆 中国香港 / 剧情 历史 家庭,1994,葛优 You Ge,9.3,976846,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg
30,怦然心动,罗伯·莱纳 Rob Reiner,/ 卡... / 美国 / 剧情 喜剧 爱情,2010,玛德琳·卡罗尔 Madeline Carroll,9.1,2062447,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
31,蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,/ 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,2008,克里斯蒂安·贝尔 Christ...,9.2,1199829,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
32,指环王3：王者无敌,彼得·杰克逊 Peter Jackson,/ 西恩... / 美国 新西兰 / 剧情 动作 奇幻 冒险,2003,伊利亚·伍德 Elijah Wood,9.3,916365,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
33,我不是药神,文牧野 Muye Wen,/ 王传君 Chuanjun Wang / 周... / 中国大陆 / 剧情 喜剧,2018,徐峥 Zheng Xu,9.0,2362868,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2527119568.jpg
34,乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,/ 美国 / 剧情 历史 爱情 战争,1939,费...,9.3,801874,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
35,让子弹飞,姜文 Wen Jiang,/ 葛优 You Ge / 周润发 Yun-F... / 中国大陆 中国香港 / 剧情 喜剧 动作 西部,2010,姜文 Wen Jiang,9.0,1930861,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
36,飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,/ 美国 / 剧情 喜剧 动画 冒险,2009,爱德...,9.1,1510430,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg
37,哈尔的移动城堡,宫崎骏 Hayao Miyazaki,/ 木村拓... / 日本 / 爱情 动画 奇幻 冒险,2004,倍赏千惠子 Chieko Baishô,9.1,1301926,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2907583906.jpg
38,十二怒汉,西德尼·吕美特 Sidney Lumet,/ 马丁... / 美国 / 剧情,1957,亨利·方达 Henry Fonda,9.4,583635,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
